                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                      COMPLEXITY COUNT RESULTS                                      
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_1\

Math,Trigonometric,Logarithmic,Calculations,Conditionals,Logical,Preprocessor,Assignment,Pointer,L1-Loops,L2-Loops,L3-Loops,L4-Loops,L5-Loops,File Name
1,0,0,21,18,6,0,38,0,2,2,0,0,0,d:\Development\GitHub\Breakout\source\\game.js
684,119,8,5825,6617,6559,0,21061,0,180,20,0,0,0,d:\Development\GitHub\Breakout\source\\phaser.js
350,81,6,910,1687,234,0,2124,0,155,237,50,29,1,d:\Development\GitHub\Breakout\source\\phaser.min.js

Totals
1035,200,14,6756,8322,6799,0,23223,0

                         TOTAL OCCURRENCES OF JavaScript COMPLEXITY COUNTS                         
Math Functions,,Trigonometric,,Logarithmic,,Calculations,,Conditionals,,Logical,,Preprocessor,,Assignment,,Pointer
abs,88,acos,2,log,14,+,3131,case,97,==,2354,,,=,23223
ceil,52,asin,3,,,-,1371,else,1182,===,1732,,,,
exp,0,atan,0,,,*,1617,else if,380,!=,499,,,,
floor,166,atan2,32,,,/,574,for,1177,!==,451,,,,
max,220,cos,80,,,%,61,if,5040,>,654,,,,
min,208,sin,83,,,++,2,switch,17,<,966,,,,
pow,83,tan,0,,,--,0,while,114,>=,143,,,,
random,53,,,,,,,?,315,=<,0,,,,
round,91,,,,,,,,,,,,,,
sqrt,74,,,,,,,,,,,,,,
