                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                             Generated by UCC v.2014.08f on 11 11 2015                             
                       GUCC -outdir D:\Development\ucc_2014.08zf\count_out_1                       

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
15,15,15,2.5,Low,D:\Development\1_Breakout\source\game.js
7394,9049,7332,2.79441,Low,D:\Development\1_Breakout\source\phaser.js
1470,1687,1452,105,Very High,D:\Development\1_Breakout\source\phaser.min.js

8879,10751,8799,3.33046

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,main,D:\Development\1_Breakout\source\game.js
1,1,1,Low,preload,D:\Development\1_Breakout\source\game.js
3,3,3,Low,create,D:\Development\1_Breakout\source\game.js
6,6,6,Low,update,D:\Development\1_Breakout\source\game.js
3,3,3,Low,ballHitPaddle,D:\Development\1_Breakout\source\game.js
1,1,1,Low,ballHitBrick,D:\Development\1_Breakout\source\game.js
3,3,3,Low,main,D:\Development\1_Breakout\source\phaser.js
8,8,8,Low,,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Line,D:\Development\1_Breakout\source\phaser.js
2,3,2,Low,Line.lineInt,D:\Development\1_Breakout\source\phaser.js
2,5,2,Low,Line.segmentsIntersect,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Point,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Point.area,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Point.left,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Point.leftOn,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Point.right,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Point.rightOn,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Point.collinear,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Point.sqdist,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Polygon,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Polygon.prototype.at,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Polygon.prototype.first,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Polygon.prototype.last,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Polygon.prototype.clear,D:\Development\1_Breakout\source\phaser.js
7,7,7,Low,Polygon.prototype.append,D:\Development\1_Breakout\source\phaser.js
4,6,4,Low,Polygon.prototype.makeCCW,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Polygon.prototype.reverse,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Polygon.prototype.isReflex,D:\Development\1_Breakout\source\phaser.js
6,9,6,Low,Polygon.prototype.canSee,D:\Development\1_Breakout\source\phaser.js
5,6,5,Low,Polygon.prototype.copy,D:\Development\1_Breakout\source\phaser.js
7,7,7,Low,Polygon.prototype.getCutEdges,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Polygon.prototype.decomp,D:\Development\1_Breakout\source\phaser.js
7,12,7,Low,Polygon.prototype.slice,D:\Development\1_Breakout\source\phaser.js
6,6,6,Low,Polygon.prototype.isSimple,D:\Development\1_Breakout\source\phaser.js
2,3,2,Low,getIntersectionPoint,D:\Development\1_Breakout\source\phaser.js
26,34,26,High,Polygon.prototype.quickDecomp,D:\Development\1_Breakout\source\phaser.js
3,4,3,Low,Polygon.prototype.removeCollinearPoints,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Scalar,D:\Development\1_Breakout\source\phaser.js
1,2,1,Low,Scalar.eq,D:\Development\1_Breakout\source\phaser.js
3,5,3,Low,AABB,D:\Development\1_Breakout\source\phaser.js
10,10,10,Low,AABB.prototype.setFromPoints,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,AABB.prototype.copy,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,AABB.prototype.extend,D:\Development\1_Breakout\source\phaser.js
1,8,1,Low,AABB.prototype.overlaps,D:\Development\1_Breakout\source\phaser.js
1,4,1,Low,AABB.prototype.containsPoint,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,AABB.prototype.overlapsRay,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Broadphase,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Broadphase.prototype.setWorld,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Broadphase.prototype.getCollisionPairs,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Broadphase.boundingRadiusCheck,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Broadphase.aabbCheck,D:\Development\1_Breakout\source\phaser.js
3,3,2,Low,Broadphase.prototype.boundingVolumeCheck,D:\Development\1_Breakout\source\phaser.js
6,15,6,Low,Broadphase.canCollide,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,NaiveBroadphase,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,NaiveBroadphase.prototype.getCollisionPairs,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,NaiveBroadphase.prototype.aabbQuery,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Narrowphase,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,Narrowphase.prototype.bodiesOverlap,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Narrowphase.prototype.collidedLastStep,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,Narrowphase.prototype.reset,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Narrowphase.prototype.createContactEquation,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Narrowphase.prototype.createFrictionEquation,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Narrowphase.prototype.createFrictionFromContact,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,Narrowphase.prototype.createFrictionFromAverage,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Narrowphase.prototype.convexLine,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Narrowphase.prototype.lineBox,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,setConvexToCapsuleShapeMiddle,D:\Development\1_Breakout\source\phaser.js
2,4,2,Low,Narrowphase.prototype.convexCapsule,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Narrowphase.prototype.lineCapsule,D:\Development\1_Breakout\source\phaser.js
14,18,14,Medium,Narrowphase.prototype.capsuleCapsule,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Narrowphase.prototype.lineLine,D:\Development\1_Breakout\source\phaser.js
9,10,9,Low,Narrowphase.prototype.planeLine,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Narrowphase.prototype.particleCapsule,D:\Development\1_Breakout\source\phaser.js
10,12,10,Low,Narrowphase.prototype.circleLine,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Narrowphase.prototype.circleCapsule,D:\Development\1_Breakout\source\phaser.js
13,13,13,Medium,Narrowphase.prototype.circleConvex,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,pointInConvex,D:\Development\1_Breakout\source\phaser.js
7,7,7,Low,Narrowphase.prototype.particleConvex,D:\Development\1_Breakout\source\phaser.js
4,6,4,Low,Narrowphase.prototype.circleCircle,D:\Development\1_Breakout\source\phaser.js
8,9,8,Low,Narrowphase.prototype.planeConvex,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,Narrowphase.prototype.particlePlane,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,Narrowphase.prototype.circleParticle,D:\Development\1_Breakout\source\phaser.js
6,7,6,Low,Narrowphase.prototype.planeCapsule,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,Narrowphase.prototype.circlePlane,D:\Development\1_Breakout\source\phaser.js
16,21,16,Medium,Narrowphase.prototype.convexConvex,D:\Development\1_Breakout\source\phaser.js
5,7,5,Low,Narrowphase.projectConvexOntoAxis,D:\Development\1_Breakout\source\phaser.js
15,18,15,Medium,Narrowphase.findSeparatingAxis,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,Narrowphase.getClosestEdge,D:\Development\1_Breakout\source\phaser.js
18,21,18,Medium,Narrowphase.prototype.circleHeightfield,D:\Development\1_Breakout\source\phaser.js
9,9,9,Low,convexHeightfield_tilePos,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Ray,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Ray.prototype.update,D:\Development\1_Breakout\source\phaser.js
3,5,3,Low,Ray.prototype.intersectBodies,D:\Development\1_Breakout\source\phaser.js
6,9,6,Low,Ray.prototype.intersectBody,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Ray.prototype.intersectShape,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Ray.prototype.getAABB,D:\Development\1_Breakout\source\phaser.js
6,8,4,Low,Ray.prototype.reportIntersection,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,distanceFromIntersectionSquared,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult.prototype.reset,D:\Development\1_Breakout\source\phaser.js
