                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                             Generated by UCC v.2014.08f on 10 28 2015                             
                       GUCC -outdir D:\Development\ucc_2014.08zf\count_out_2                       

                                    RESULTS FOR JavaScript FILES                                    

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
15,1,2,0,0,0,7,7,12,CODE,D:\Development\GitHub\Breakout\source\boot.js
192,50,12,0,0,0,90,90,130,CODE,D:\Development\GitHub\Breakout\source\game.js
278,73,21,0,0,0,156,156,184,CODE,D:\Development\GitHub\Breakout\source\mainmenu.js
96019,17397,35934,129,0,1,12623,12624,42688,CODE,D:\Development\GitHub\Breakout\source\phaser.js
35,1,2,1,0,13,8959,8972,32,CODE,D:\Development\GitHub\Breakout\source\phaser.min.js
35,11,0,0,0,0,19,19,24,CODE,D:\Development\GitHub\Breakout\source\preload.js

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
96574,17533,35971,130,0,11,43059,43070,CODE,Physical
96574,17533,35971,130,0,14,21854,21868,CODE,Logical

Number of files successfully accessed,6,out of,6

Ratio of Physical to Logical SLOC,    1.97

                              TOTAL OCCURRENCES OF JavaScript KEYWORDS                              
Compiler Directives,,Data Keywords,,Executable Keywords
,,abstract,0,alert,0
,,boolean,0,arguments,190
,,byte,0,assign,0
,,char,0,break,151
,,class,0,case,97
,,double,0,catch,29
,,enum,0,close,0
,,float,0,comment,0
,,implements,0,constructor,312
,,instanceOf,0,continue,46
,,int,0,default,6
,,interface,0,debugger,0
,,long,0,delete,51
,,private,0,do,16
,,protected,0,else,1185
,,public,0,escape,0
,,short,0,eval,0
,,static,0,export,0
,,void,48,extends,12
,,,,false,1206
,,,,find,0
,,,,final,0
,,,,finally,1
,,,,focus,3
,,,,for,1177
,,,,function,5673
,,,,if,5050
,,,,import,0
,,,,label,0
,,,,length,1799
,,,,location,10
,,,,native,0
,,,,new,1461
,,,,null,2038
,,,,open,2
,,,,package,0
,,,,print,0
,,,,prompt,0
,,,,prototype,2678
,,,,ref,0
,,,,return,3804
,,,,self,24
,,,,status,6
,,,,stop,210
,,,,super,0
,,,,switch,17
,,,,synchronized,0
,,,,taint,0
,,,,this,28735
,,,,throw,68
,,,,throws,0
,,,,transient,0
,,,,true,1019
,,,,try,30
,,,,typeof,444
,,,,untaint,0
,,,,var,5084
,,,,watch,0
,,,,while,114
,,,,with,0
