                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_5\

                                    RESULTS FOR JavaScript FILES                                    

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
15,1,2,0,0,0,7,7,12,CODE,d:\Development\GitHub\Breakout\source\\boot.js
364,92,27,7,0,0,182,182,245,CODE,d:\Development\GitHub\Breakout\source\\game.js
58,9,2,0,0,0,36,36,47,CODE,d:\Development\GitHub\Breakout\source\\level1.js
172,48,5,0,0,0,90,90,119,CODE,d:\Development\GitHub\Breakout\source\\level2.js
199,46,6,0,0,0,106,106,147,CODE,d:\Development\GitHub\Breakout\source\\level3.js
510,140,13,0,0,0,283,283,357,CODE,d:\Development\GitHub\Breakout\source\\mainmenu.js
96019,17397,35934,129,0,1,12623,12624,42688,CODE,d:\Development\GitHub\Breakout\source\\phaser.js
35,1,2,1,0,13,8959,8972,32,CODE,d:\Development\GitHub\Breakout\source\\phaser.min.js
78,24,5,0,0,0,44,44,49,CODE,d:\Development\GitHub\Breakout\source\\preload.js

                                          RESULTS SUMMARY                                          

Total,Blank,Comments,,Compiler,Data,Exec.,,File,SLOC
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,Type,Definition
97450,17758,35996,137,0,11,43685,43696,CODE,Physical
97450,17758,35996,137,0,14,22330,22344,CODE,Logical

Number of files successfully accessed,9,out of,9

Ratio of Physical to Logical SLOC,    1.96

                              TOTAL OCCURRENCES OF JavaScript KEYWORDS                              
Compiler Directives,,Data Keywords,,Executable Keywords
,,abstract,0,alert,0
,,boolean,0,arguments,190
,,byte,0,assign,0
,,char,0,break,170
,,class,0,case,116
,,double,0,catch,29
,,enum,0,close,0
,,float,0,comment,0
,,implements,0,constructor,312
,,instanceOf,0,continue,46
,,int,0,default,6
,,interface,0,debugger,0
,,long,0,delete,51
,,private,0,do,16
,,protected,0,else,1193
,,public,0,escape,0
,,short,0,eval,0
,,static,0,export,0
,,void,48,extends,12
,,,,false,1202
,,,,find,0
,,,,final,0
,,,,finally,1
,,,,focus,3
,,,,for,1213
,,,,function,5683
,,,,if,5080
,,,,import,0
,,,,label,0
,,,,length,1802
,,,,location,10
,,,,native,0
,,,,new,1461
,,,,null,2037
,,,,open,2
,,,,package,0
,,,,print,0
,,,,prompt,0
,,,,prototype,2678
,,,,ref,0
,,,,return,3804
,,,,self,24
,,,,status,6
,,,,stop,210
,,,,super,0
,,,,switch,24
,,,,synchronized,0
,,,,taint,0
,,,,this,28790
,,,,throw,68
,,,,throws,0
,,,,transient,0
,,,,true,1054
,,,,try,30
,,,,typeof,444
,,,,untaint,0
,,,,var,5179
,,,,watch,0
,,,,while,114
,,,,with,0
