                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_6\

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
4,4,4,1,Low,d:\Development\GitHub\Breakout\source\\boot.js
6,6,6,1.5,Low,d:\Development\GitHub\Breakout\source\\easteregg.js
91,102,66,3.79167,Low,d:\Development\GitHub\Breakout\source\\game.js
7,7,7,3.5,Low,d:\Development\GitHub\Breakout\source\\level1.js
15,15,15,7.5,Low,d:\Development\GitHub\Breakout\source\\level2.js
18,18,18,9,Low,d:\Development\GitHub\Breakout\source\\level3.js
36,74,34,7.2,Low,d:\Development\GitHub\Breakout\source\\leveleditor.js
13,13,8,6.5,Low,d:\Development\GitHub\Breakout\source\\loadOwnLevel.js
71,80,62,3.94444,Low,d:\Development\GitHub\Breakout\source\\mainmenu.js
7394,9049,7332,2.79441,Low,d:\Development\GitHub\Breakout\source\\phaser.js
1470,1687,1452,105,Very High,d:\Development\GitHub\Breakout\source\\phaser.min.js
4,4,4,1,Low,d:\Development\GitHub\Breakout\source\\preload.js
1,1,1,1,Low,d:\Development\GitHub\Breakout\source\\savefile.js

9130,11060,9009,3.34677

                                        RESULTS BY FUNCTION                                        

Cyclomatic Complexity
CC1,CC2,CC3,Risk,Function Name,File Name
1,1,1,Low,main,d:\Development\GitHub\Breakout\source\\boot.js
1,1,1,Low,Break.Boot,d:\Development\GitHub\Breakout\source\\boot.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\boot.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\boot.js
1,1,1,Low,main,d:\Development\GitHub\Breakout\source\\easteregg.js
1,1,1,Low,Break.Easteregg,d:\Development\GitHub\Breakout\source\\easteregg.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\easteregg.js
2,2,2,Low,,d:\Development\GitHub\Breakout\source\\easteregg.js
17,24,15,Medium,main,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,Break.Game,d:\Development\GitHub\Breakout\source\\game.js
9,9,4,Low,,d:\Development\GitHub\Breakout\source\\game.js
5,7,5,Low,,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\game.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\game.js
14,16,6,Medium,,d:\Development\GitHub\Breakout\source\\game.js
4,4,4,Low,,d:\Development\GitHub\Breakout\source\\game.js
5,5,2,Low,,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\game.js
3,3,3,Low,,d:\Development\GitHub\Breakout\source\\game.js
9,9,7,Low,,d:\Development\GitHub\Breakout\source\\game.js
1,1,1,Low,,d:\Development\GitHub\Breakout\source\\game.js
